start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
74.7229,74.8506,0.1277,47,B2,123.471,49,0.3881
49.1410,49.3036,0.1625,61,C#4,277.183,49,0.3892
112.8280,112.9789,0.1509,47,B2,123.471,50,0.3967
73.0730,73.6896,0.6166,54,F#3,184.997,46,0.3607
26.4062,26.7545,0.3483,54,F#3,184.997,47,0.3680
60.0157,60.1085,0.0929,60,C4,261.626,49,0.3885
117.8241,118.0447,0.2206,56,G#3,207.652,49,0.3868
56.0773,56.2747,0.1974,52,E3,164.814,50,0.3936
30.9482,31.1108,0.1625,49,C#3,138.591,45,0.3558
62.4202,62.5363,0.1161,49,C#3,138.591,48,0.3809
7.7477,7.8870,0.1393,45,A2,110.000,49,0.3886
15.4386,15.7753,0.3367,56,G#3,207.652,51,0.4024
69.9950,70.1228,0.1277,49,C#3,138.591,49,0.3840
91.4876,91.6734,0.1858,54,F#3,184.997,48,0.3788
67.9040,68.4032,0.4992,45,A2,110.000,44,0.3443
74.7345,75.2453,0.5108,51,D#3,155.563,43,0.3419
9.3628,9.7575,0.3947,54,F#3,184.997,47,0.3732
18.8429,19.3770,0.5341,61,C#4,277.183,46,0.3634
81.5547,81.6708,0.1161,52,E3,164.814,48,0.3791
89.3720,89.6636,0.2915,49,C#3,138.591,49,0.3822
39.3590,39.6957,0.3367,61,C#4,277.183,48,0.3805
98.2717,98.5271,0.2554,54,F#3,184.997,49,0.3851
112.3636,112.5145,0.1509,54,F#3,184.997,47,0.3737
118.3814,118.8923,0.5108,40,E2,82.407,49,0.3874
96.4477,96.6799,0.2322,54,F#3,184.997,46,0.3593
28.9616,29.6118,0.6502,61,C#4,277.183,43,0.3374
41.4036,41.6126,0.2090,52,E3,164.814,50,0.3937
79.6958,80.0209,0.3251,61,C#4,277.183,43,0.3382
123.8884,124.0277,0.1393,56,G#3,207.652,49,0.3863
38.1980,38.7437,0.5457,54,F#3,184.997,43,0.3400
36.5365,36.8500,0.3135,61,C#4,277.183,44,0.3498
20.5973,20.7250,0.1277,54,F#3,184.997,42,0.3336
60.0505,60.1550,0.1045,54,F#3,184.997,48,0.3787
14.2776,14.3821,0.1045,52,E3,164.814,48,0.3766
56.0773,56.1934,0.1161,76,E5,659.255,47,0.3711
20.8760,21.3171,0.4412,47,B2,123.471,43,0.3408
109.4134,109.7036,0.2902,54,F#3,184.997,43,0.3384
88.3968,88.5826,0.1858,47,B2,123.471,47,0.3715
101.8153,102.0707,0.2554,47,B2,123.471,45,0.3540
117.2320,117.6848,0.4528,56,G#3,207.652,45,0.3507
69.0301,69.2159,0.1858,61,C#4,277.183,46,0.3600
39.8247,39.9060,0.0813,49,C#3,138.591,47,0.3738
53.7773,53.8934,0.1161,50,D3,146.832,44,0.3463
92.8460,92.9969,0.1509,56,G#3,207.652,46,0.3625
86.8166,87.1184,0.3019,45,A2,110.000,44,0.3472
27.5207,27.6949,0.1741,47,B2,123.471,46,0.3640
44.5293,44.6338,0.1045,56,G#3,207.652,46,0.3651
78.9979,79.2882,0.2902,54,F#3,184.997,43,0.3356
45.7728,46.0283,0.2554,61,C#4,277.183,46,0.3653
13.8236,14.1732,0.3496,61,C#4,277.183,42,0.3335
78.5335,78.8005,0.2670,47,B2,123.471,42,0.3335
123.6446,124.0277,0.3831,61,C#4,277.183,46,0.3631
13.7887,13.9294,0.1406,52,E3,164.814,46,0.3638
126.0143,126.0956,0.0813,51,D#3,155.563,47,0.3695
115.0468,115.1629,0.1161,50,D3,146.832,46,0.3625
14.9859,15.1136,0.1277,61,C#4,277.183,46,0.3646
32.8884,33.0045,0.1161,61,C#4,277.183,46,0.3594
88.1066,88.3039,0.1974,49,C#3,138.591,45,0.3562
47.1660,47.4447,0.2786,54,F#3,184.997,45,0.3519
87.8860,88.1994,0.3135,54,F#3,184.997,47,0.3705
83.6806,83.8083,0.1277,49,C#3,138.591,46,0.3615
42.6588,42.7865,0.1277,61,C#4,277.183,46,0.3614
103.3840,103.4768,0.0929,54,F#3,184.997,46,0.3653
2.8573,2.9734,0.1161,47,B2,123.471,41,0.3227
17.5878,17.9722,0.3844,61,C#4,277.183,42,0.3284
87.4680,87.6189,0.1509,49,C#3,138.591,46,0.3591
76.4424,76.9301,0.4876,49,C#3,138.591,43,0.3366
40.7186,40.9160,0.1974,56,G#3,207.652,46,0.3649
8.7939,9.3047,0.5108,61,C#4,277.183,41,0.3225
9.9330,10.0142,0.0813,49,C#3,138.591,47,0.3711
89.8493,90.1164,0.2670,54,F#3,184.997,41,0.3244
5.8308,6.2152,0.3844,61,C#4,277.183,45,0.3532
104.3592,104.6959,0.3367,49,C#3,138.591,42,0.3300
24.5589,25.2207,0.6618,61,C#4,277.183,43,0.3391
10.3509,10.7340,0.3831,61,C#4,277.183,46,0.3629
17.4020,17.4949,0.0929,54,F#3,184.997,46,0.3596
88.4549,88.5710,0.1161,54,F#3,184.997,44,0.3502
86.1664,86.3522,0.1858,50,D3,146.832,39,0.3073
59.8299,59.9460,0.1161,58,A#3,233.082,45,0.3577
88.4432,88.6174,0.1741,61,C#4,277.183,45,0.3515
84.2379,84.3656,0.1277,50,D3,146.832,44,0.3478
121.0414,121.2168,0.1754,61,C#4,277.183,40,0.3180
66.2076,66.3469,0.1393,61,C#4,277.183,45,0.3523
88.0253,88.2343,0.2090,47,B2,123.471,46,0.3610
17.1002,17.2395,0.1393,42,F#2,92.499,45,0.3567
16.6358,16.7286,0.0929,49,C#3,138.591,45,0.3563
23.7797,24.2222,0.4425,45,A2,110.000,42,0.3280
62.5827,62.7917,0.2090,61,C#4,277.183,45,0.3534
41.2527,41.3340,0.0813,54,F#3,184.997,45,0.3538
21.1894,21.6771,0.4876,61,C#4,277.183,42,0.3269
57.9826,58.0871,0.1045,51,D#3,155.563,45,0.3514
10.3625,10.4670,0.1045,40,E2,82.407,45,0.3508
3.7977,4.0777,0.2799,52,E3,164.814,41,0.3253
102.9879,103.1389,0.1509,49,C#3,138.591,45,0.3561
126.4555,126.6180,0.1625,61,C#4,277.183,45,0.3550
72.8988,73.3864,0.4876,47,B2,123.471,41,0.3246
84.6326,84.7603,0.1277,49,C#3,138.591,45,0.3522
25.8953,26.1159,0.2206,61,C#4,277.183,44,0.3488
27.8471,28.2302,0.3831,47,B2,123.471,44,0.3448
94.8094,94.9255,0.1161,54,F#3,184.997,45,0.3508
44.0301,44.2158,0.1858,61,C#4,277.183,45,0.3571
25.5225,25.6270,0.1045,49,C#3,138.591,44,0.3497
46.2605,46.5391,0.2786,61,C#4,277.183,39,0.3054
117.8241,118.0796,0.2554,47,B2,123.471,43,0.3417
126.2581,126.3394,0.0813,51,D#3,155.563,42,0.3328
41.7055,41.7881,0.0826,61,C#4,277.183,45,0.3524
124.1554,124.4108,0.2554,54,F#3,184.997,44,0.3489
81.7521,81.8914,0.1393,61,C#4,277.183,45,0.3529
49.5009,49.5938,0.0929,56,G#3,207.652,44,0.3480
99.8171,100.1190,0.3019,56,G#3,207.652,45,0.3505
82.2397,82.4022,0.1625,61,C#4,277.183,44,0.3497
77.1274,77.2900,0.1625,61,C#4,277.183,43,0.3403
91.1845,91.3470,0.1625,54,F#3,184.997,44,0.3465
25.5690,25.6618,0.0929,61,C#4,277.183,44,0.3483
56.6346,56.8087,0.1741,47,B2,123.471,43,0.3368
37.7568,38.0006,0.2438,54,F#3,184.997,40,0.3155
122.2037,122.4939,0.2902,47,B2,123.471,42,0.3290
37.4885,37.5582,0.0697,48,C3,130.813,44,0.3492
21.8164,22.0847,0.2683,61,C#4,277.183,43,0.3369
125.8169,125.9214,0.1045,61,C#4,277.183,44,0.3445
94.2637,94.7049,0.4412,56,G#3,207.652,40,0.3143
58.2032,58.2845,0.0813,54,F#3,184.997,44,0.3441
18.2857,18.3669,0.0813,52,E3,164.814,44,0.3426
29.1010,29.3216,0.2206,47,B2,123.471,43,0.3420
125.3061,125.4454,0.1393,61,C#4,277.183,43,0.3401
81.1703,81.4502,0.2799,61,C#4,277.183,42,0.3276
122.6448,122.7609,0.1161,47,B2,123.471,43,0.3402
29.9033,30.0310,0.1277,54,F#3,184.997,42,0.3303
48.2470,48.3515,0.1045,56,G#3,207.652,43,0.3367
78.0575,78.1388,0.0813,47,B2,123.471,43,0.3407
39.3590,39.6725,0.3135,49,C#3,138.591,40,0.3187
117.4294,117.5455,0.1161,40,E2,82.407,43,0.3370
30.8321,30.9018,0.0697,47,B2,123.471,43,0.3358
112.0153,112.2127,0.1974,54,F#3,184.997,41,0.3238
1.4280,1.5209,0.0929,42,F#2,92.499,43,0.3381
84.8648,85.1434,0.2786,61,C#4,277.183,40,0.3119
43.3786,43.5179,0.1393,61,C#4,277.183,44,0.3443
97.9466,98.2369,0.2902,52,E3,164.814,38,0.3020
77.3596,77.5467,0.1870,54,F#3,184.997,42,0.3326
80.6362,80.9729,0.3367,54,F#3,184.997,41,0.3203
40.3007,40.4168,0.1161,40,E2,82.407,43,0.3383
95.0764,95.1693,0.0929,54,F#3,184.997,43,0.3376
90.5575,90.6504,0.0929,55,G3,195.998,40,0.3147
116.0697,116.3484,0.2786,50,D3,146.832,39,0.3104
100.5485,100.8620,0.3135,56,G#3,207.652,39,0.3037
79.2766,79.5565,0.2799,61,C#4,277.183,40,0.3178
70.4943,70.5872,0.0929,57,A3,220.000,42,0.3330
55.8219,55.8916,0.0697,52,E3,164.814,43,0.3348
37.0125,37.0938,0.0813,61,C#4,277.183,43,0.3365
109.2147,109.2741,0.0593,47,B2,123.471,42,0.3340
47.9452,48.0729,0.1277,47,B2,123.471,41,0.3196
106.0555,106.1368,0.0813,54,F#3,184.997,42,0.3298
110.1680,110.4002,0.2322,52,E3,164.814,39,0.3087
111.0504,111.2955,0.2451,54,F#3,184.997,41,0.3254
101.8269,102.0359,0.2090,56,G#3,207.652,40,0.3162
111.4348,111.5973,0.1625,49,C#3,138.591,41,0.3241
9.6298,9.7111,0.0813,42,F#2,92.499,42,0.3275
110.7485,110.8414,0.0929,54,F#3,184.997,42,0.3298
77.3480,77.4409,0.0929,56,G#3,207.652,42,0.3281
25.8012,25.8605,0.0593,40,E2,82.407,42,0.3270
45.4813,45.6090,0.1277,52,E3,164.814,41,0.3235
86.9791,87.1765,0.1974,49,C#3,138.591,41,0.3266
78.4522,78.8122,0.3599,54,F#3,184.997,39,0.3061
19.5163,19.7717,0.2554,56,G#3,207.652,39,0.3063
13.4404,13.5101,0.0697,61,C#4,277.183,41,0.3249
95.7511,95.8207,0.0697,54,F#3,184.997,41,0.3266
81.8217,81.9030,0.0813,52,E3,164.814,42,0.3285
24.3731,24.4428,0.0697,45,A2,110.000,41,0.3258
71.4115,71.5043,0.0929,61,C#4,277.183,41,0.3240
105.2648,105.3241,0.0593,47,B2,123.471,41,0.3250
87.4796,87.5725,0.0929,54,F#3,184.997,41,0.3264
100.0841,100.2815,0.1974,52,E3,164.814,40,0.3185
5.4128,5.5754,0.1625,54,F#3,184.997,40,0.3127
85.3756,85.4814,0.1058,61,C#4,277.183,41,0.3241
58.4935,58.5631,0.0697,61,C#4,277.183,41,0.3233
29.9150,29.9846,0.0697,47,B2,123.471,41,0.3251
1.6602,1.7763,0.1161,61,C#4,277.183,40,0.3155
48.5257,48.6070,0.0813,56,G#3,207.652,41,0.3204
32.8419,32.9116,0.0697,52,E3,164.814,41,0.3221
86.3754,86.4683,0.0929,61,C#4,277.183,41,0.3197
124.1670,124.2831,0.1161,61,C#4,277.183,41,0.3190
110.1100,110.1912,0.0813,54,F#3,184.997,41,0.3215
41.0321,41.1134,0.0813,61,C#4,277.183,41,0.3207
102.6512,102.8370,0.1858,54,F#3,184.997,36,0.2865
42.2524,42.3337,0.0813,61,C#4,277.183,40,0.3173
73.9914,74.0727,0.0813,61,C#4,277.183,41,0.3190
40.5793,40.6838,0.1045,47,B2,123.471,40,0.3159
74.6648,74.8158,0.1509,61,C#4,277.183,40,0.3180
98.2253,98.3298,0.1045,47,B2,123.471,40,0.3168
55.2749,55.3446,0.0697,61,C#4,277.183,40,0.3149
47.2357,47.3286,0.0929,49,C#3,138.591,40,0.3133
85.8994,85.9806,0.0813,61,C#4,277.183,40,0.3142
12.1866,12.2678,0.0813,61,C#4,277.183,40,0.3136
116.1858,116.2555,0.0697,45,A2,110.000,40,0.3115
54.2300,54.2997,0.0697,62,D4,293.665,39,0.3102
89.3256,89.5010,0.1754,52,E3,164.814,38,0.3002
28.0677,28.1373,0.0697,49,C#3,138.591,39,0.3076
41.2991,41.4385,0.1393,61,C#4,277.183,38,0.3013
34.9214,35.0375,0.1161,54,F#3,184.997,39,0.3065
