start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
37.2447,37.5349,0.2902,55,G3,195.998,59,0.4667
35.8399,35.9676,0.1277,51,D#3,155.563,75,0.5899
35.6993,35.8399,0.1406,51,D#3,155.563,87,0.6859
35.4787,35.7935,0.3148,56,G#3,207.652,54,0.4282
35.4787,35.6993,0.2206,51,D#3,155.563,84,0.6587
35.2117,35.4787,0.2670,56,G#3,207.652,65,0.5087
35.2001,35.3278,0.1277,63,D#4,311.127,43,0.3415
35.1884,35.6296,0.4412,44,G#2,103.826,53,0.4181
34.9562,35.0723,0.1161,64,E4,329.628,38,0.2973
34.9562,35.1420,0.1858,57,A3,220.000,75,0.5916
34.9562,35.0723,0.1161,52,E3,164.814,52,0.4118
34.1319,34.5731,0.4412,52,E3,164.814,61,0.4821
33.9578,34.1319,0.1741,52,E3,164.814,84,0.6624
33.8649,33.9578,0.0929,53,F3,174.614,41,0.3247
33.6546,34.1087,0.4541,62,D4,293.665,77,0.6037
33.4805,33.7243,0.2438,53,F3,174.614,64,0.5036
33.2019,33.2831,0.0813,64,E4,329.628,51,0.3977
33.0045,33.2019,0.1974,64,E4,329.628,45,0.3570
32.9929,33.4805,0.4876,52,E3,164.814,86,0.6801
32.8768,32.9929,0.1161,53,F3,174.614,59,0.4616
32.7955,32.8768,0.0813,52,E3,164.814,69,0.5408
32.6910,33.0858,0.3947,60,C4,261.626,66,0.5168
32.6678,32.7955,0.1277,53,F3,174.614,50,0.3919
32.5169,32.6678,0.1509,53,F3,174.614,58,0.4599
32.3659,32.5169,0.1509,52,E3,164.814,96,0.7561
30.6928,31.7971,1.1042,53,F3,174.614,75,0.5939
30.4374,30.6464,0.2090,64,E4,329.628,56,0.4433
30.4374,30.6928,0.2554,52,E3,164.814,95,0.7508
30.1936,30.3677,0.1741,50,D3,146.832,54,0.4213
29.6699,29.7976,0.1277,53,F3,174.614,54,0.4229
29.6582,29.7743,0.1161,46,A#2,116.541,46,0.3647
29.4493,29.5421,0.0929,55,G3,195.998,43,0.3412
29.4377,29.6002,0.1625,43,G2,97.999,41,0.3246
29.2867,29.4377,0.1509,50,D3,146.832,77,0.6082
29.2287,29.3332,0.1045,53,F3,174.614,36,0.2855
29.2171,29.2867,0.0697,50,D3,146.832,59,0.4668
27.5323,27.7413,0.2090,56,G#3,207.652,48,0.3817
27.3350,28.8804,1.5454,50,D3,146.832,52,0.4062
27.0795,27.5323,0.4528,56,G#3,207.652,45,0.3556
27.0679,28.1373,1.0694,44,G#2,103.826,54,0.4261
26.5919,26.9751,0.3831,57,A3,220.000,76,0.5996
26.4178,27.0563,0.6385,64,E4,329.628,82,0.6437
26.2436,26.5919,0.3483,57,A3,220.000,74,0.5846
26.0230,26.5571,0.5341,53,F3,174.614,42,0.3320
25.5457,25.7431,0.1974,52,E3,164.814,65,0.5125
24.3035,24.4660,0.1625,57,A3,220.000,57,0.4502
24.1409,24.2570,0.1161,55,G3,195.998,48,0.3800
23.9900,24.3035,0.3135,50,D3,146.832,60,0.4752
23.8391,23.9668,0.1277,56,G#3,207.652,46,0.3643
23.5940,23.8146,0.2206,57,A3,220.000,59,0.4624
23.2109,23.5940,0.3831,57,A3,220.000,61,0.4770
22.9787,23.3153,0.3367,65,F4,349.228,61,0.4814
22.8858,23.2109,0.3251,57,A3,220.000,85,0.6703
22.7465,22.8858,0.1393,57,A3,220.000,35,0.2777
22.3982,22.5607,0.1625,65,F4,349.228,71,0.5611
22.3982,23.5475,1.1494,53,F3,174.614,56,0.4374
22.2124,22.3749,0.1625,49,C#3,138.591,52,0.4097
22.2008,22.3982,0.1974,64,E4,329.628,70,0.5526
22.0034,22.3517,0.3483,57,A3,220.000,74,0.5825
21.8525,22.3982,0.5457,53,F3,174.614,59,0.4649
21.7235,22.2124,0.4889,49,C#3,138.591,58,0.4583
21.5842,21.8525,0.2683,53,F3,174.614,55,0.4350
21.4332,21.8396,0.4063,57,A3,220.000,76,0.5996
21.2707,21.7932,0.5224,64,E4,329.628,71,0.5563
